text,label
"Understand congruence and similarity using physical models, transparencies, or geometry software.",8.G.A.5
Generalize place value understanding for multi-digit whole numbers.,4.NBT.A.2
Generalize place value understanding for multi-digit whole numbers.,4.NBT.A.2
"Apply and extend previous understandings of operations with fractions to add, subtract, multiply, and divide rational numbers.",7.NS.A.2
Investigate patterns of association in bivariate data.,8.SP.A.4
Investigate patterns of association in bivariate data.,8.SP.A.4
Perform operations with multi-digit whole numbers and with decimals to hundredths.,5.NBT.B.7
Perform operations with multi-digit whole numbers and with decimals to hundredths.,5.NBT.B.6
Understand the place value system.,5.NBT.A.3
Geometric measurement: understand concepts of area and relate area to multiplication and to addition.,3.MD.C.6
Analyze and solve linear equations and pairs of simultaneous linear equations.,8.EE.C.7
Geometric measurement: understand concepts of area and relate area to multiplication and to addition.,3.MD.C.6
Use equivalent fractions as a strategy to add and subtract fractions.,5.NF.A.1
Multiply and divide within 100.,3.OA.C.7
Analyze and solve linear equations and pairs of simultaneous linear equations.,8.EE.C.7
"Understand the connections between proportional relationships, lines, and linear equations.",8.EE.B.6
"Solve problems involving measurement and estimation of intervals of time, liquid volumes, and masses of objects.",3.MD.A.2
"Solve problems involving measurement and estimation of intervals of time, liquid volumes, and masses of objects.",3.MD.A.1
Reason with shapes and their attributes.,3.G.A.2
"Understand congruence and similarity using physical models, transparencies, or geometry software.",8.G.A.3
"Solve problems involving measurement and estimation of intervals of time, liquid volumes, and masses of objects.",3.MD.A.2
"Solve problems involving measurement and estimation of intervals of time, liquid volumes, and masses of objects.",3.MD.A.1
"Solve problems involving measurement and estimation of intervals of time, liquid volumes, and masses of objects.",3.MD.A.1
"Solve problems involving measurement and estimation of intervals of time, liquid volumes, and masses of objects.",3.MD.A.1
"Solve problems involving measurement and estimation of intervals of time, liquid volumes, and masses of objects.",3.MD.A.2
"Solve problems involving measurement and estimation of intervals of time, liquid volumes, and masses of objects.",3.MD.A.1
Reason with shapes and their attributes.,3.G.A.1
