Node A,Node B,Relation
4.NBT.1,4.NBT.2,student who met standard A will likely to meet standard B
4.NBT.3,4.OA.3,student who met standard A will likely to meet standard B
4.NBT.1,4.NBT.3,student who met standard A will likely to meet standard B
4.NBT.1,4.NBT.4,student who met standard A will likely to meet standard B
4.NBT.1,4.NBT.5,student who met standard A will likely to meet standard B
4.NBT.1,4.NBT.6,student who met standard A will likely to meet standard B
4.NBT.6,4.OA.3,student who met standard A will likely to meet standard B
4.OA.3,4.MD.2,student who met standard A will likely to meet standard B
4.OA.1,4.OA.2,student who met standard A will likely to meet standard B
4.OA.2,4.NF.1,student who met standard A will likely to meet standard B
4.OA.2,4.MD.1,student who met standard A will likely to meet standard B
4.MD.1,4.MD.2,student who met standard A will likely to meet standard B
4.OA.2,4.NF.4,student who met standard A will likely to meet standard B
4.NF.1,4.NF.2,student who met standard A will likely to meet standard B
4.NF.1,4.NF.5,student who met standard A will likely to meet standard B
4.NF.5,4.NF.6,student who met standard A will likely to meet standard B
4.NF.6,4.NF.7,student who met standard A will likely to meet standard B
4.NF.5,4.MD.2,student who met standard A will likely to meet standard B
4.NF.2,4.NF.7,student who met standard A will likely to meet standard B
4.NF.1,4.NF.3,student who met standard A will likely to meet standard B
4.NF.3,4.MD.4,related
4.G.1,4.G.2,student who met standard A will likely to meet standard B
4.G.1,4.MD.5,related
4.MD.5,4.MD.6,student who met standard A will likely to meet standard B
4.MD.5,4.MD.7,student who met standard A will likely to meet standard B
4.MD.5,4.G.2,related
5.NBT.1,5.NBT.2,student who met standard A will likely to meet standard B
5.NBT.1,5.NBT.3,student who met standard A will likely to meet standard B
5.NBT.1,5.NBT.4,student who met standard A will likely to meet standard B
5.NBT.1,5.NBT.5,student who met standard A will likely to meet standard B
5.NBT.1,5.NBT.6,student who met standard A will likely to meet standard B
5.NBT.3,5.NBT.4,student who met standard A will likely to meet standard B
5.NBT.2,5.NBT.7,student who met standard A will likely to meet standard B
5.NBT.6,5.NBT.7,student who met standard A will likely to meet standard B
5.NF.1,5.NF.2,student who met standard A will likely to meet standard B
5.NF.1,5.NBT.7,student who met standard A will likely to meet standard B
5.OA.1,5.OA.2,student who met standard A will likely to meet standard B
5.NF.1,5.NF.2,student who met standard A will likely to meet standard B
5.NF.2,5.MD.2,student who met standard A will likely to meet standard B
5.NBT.7,5.MD.1,student who met standard A will likely to meet standard B
5.NF.7,5.NBT.7,student who met standard A will likely to meet standard B
5.NF.5,5.OA.2,related
5.NF.3,5.NF.4,related
5.NF.3,5.NF.5,student who met standard A will likely to meet standard B
5.NF.4,5.NF.5,student who met standard A will likely to meet standard B
5.NF.4,5.NF.6,related
5.NF.6,5.MD.2,student who met standard A will likely to meet standard B
5.MD.3,5.MD.4,student who met standard A will likely to meet standard B
5.MD.3,5.MD.5,student who met standard A will likely to meet standard B
5.G.3,5.G.4,student who met standard A will likely to meet standard B
5.G.1,5.G.2,related
6.RP.1,6.RP.2,student who met standard A will likely to meet standard B
6.RP.2,6.RP.3,student who met standard A will likely to meet standard B
6.RP.1,6.RP.3,student who met standard A will likely to meet standard B
6.NS.1,6.EE.7,student who met standard A will likely to meet standard B
6.RP.3,6.EE.9,related
6.EE.6,6.EE.7,student who met standard A will likely to meet standard B
6.EE.1,6.EE.2,student who met standard A will likely to meet standard B
