cleaned_title,cc_code_ez
Identifying Lines and Angles: ,4.G.A.1
"Finding Right, Acute, and Obtuse Angles: Grade 2",4.G.A.1
"Math Lesson 151 - Acute, Obtuse, Right, &amp; Straight Angles - LOTSA MATH",4.G.A.1
Angles: measuring angles and their names! | Educational Videos for Kids,4.G.A.1
"Angles Song | Acute, Obtuse, &amp; Right Angles | amp; ade",4.G.A.1
Identifying parallel and perpendicular lines | Geometry | Khan Academy,4.G.A.2
Parallel and perpendicular lines intro | Analytic geometry | Geometry | Khan Academy,4.G.A.2
"Parallel, Intersection and Perpendicular Line",4.G.A.2
"Parallel, Perpendicular &amp; Intersecting Lines Song",4.G.A.2
Identifying Parallel &amp; Perpendicular Lines In ional Figures,4.G.A.2
Classify 2D shapes - Parallel or Perpendicular lines or angles,4.G.A.2
Classifying Polygons Based on Parallel Lines,4.G.A.2
Year 3 - Identify perpendicular and parallel lines in apes - Explanation,4.G.A.2
"Lesson 1 2D shapes bonus video quadrilaterals, parallel and perpendicular lines",4.G.A.2
Classifying Polygons Based On Parallel &amp; Perpendicular Lines,4.G.A.2
Symmetry Song for Kids | A Day at Symmetry Land | Lines of Symmetry,4.G.A.3
Identifying symmetrical figures | Math | ade | Khan Academy,4.G.A.3
Symmetry for aders,4.G.A.3
How to Pass the Math FSA  Lines of Symmetry,4.G.A.3
What is Symmetry? - Basics | Line of Symmetry | Don&#3morise,4.G.A.3
eSpark Learning: Customary Measurement Equivalents Instructional Video ,4.MD.A.1
eSpark Learning: Metric Measurement Equivalents Instructional Video ,4.MD.A.1
Metric system: units of weight | ade | Khan Academy,4.MD.A.1
Measurement Size and Conversions - Common Core Standard,4.MD.A.1
Metric System Conversions Song | Measurement by NUMBEROCK,4.MD.A.1
 LT: I can use the four operations to solve word problems...,4.MD.A.2
Length word problems | Measurement and data | Early Math | Khan Academy,4.MD.A.2
Solving Word Problems Involving Money,4.MD.A.2
Word Problems involving Volume,4.MD.A.2
Word Problems involving Mass,4.MD.A.2
Engage NY Module 1 - grade 4,4.MD.A.3
Finding width from perimeter and length | Measurement | Pre-Algebra | Khan Academy,4.MD.A.3
Area of a Rectangle,4.MD.A.3
Area of a Rectangle | How to Calculate Area of a Rectangle | Math Help with Mr. J,4.MD.A.3
Finding AREA &amp; PERIMETER of a Rectangle Examples,4.MD.A.3
Finding AREA &amp; PERIMETER of a Rectangle Examples,4.MD.A.3
Word Problem Involving the Perimeter of a Rectangle,4.MD.A.3
Area and perimeter word problem: comparing areas of rectangles | Pre-Algebra | Khan Academy,4.MD.A.3
Area and perimeter word problem: width of a dog pen | Khan Academy,4.MD.A.3
Area and Perimeter Problem Solving,4.MD.A.3
Line Plots Part 1 ,4.MD.B.4
Line Plots Part 1 ,5.MD.B.2
Addition of Fractions Using Line Plots: ,4.MD.B.4
Fractional Line Plots,4.MD.B.4
Answering Questions About Line Plots: Fractions: ,4.MD.B.4
How to read a line plot that uses fractions | ade | Khan Academy,4.MD.B.4
Relating Angle Measures to Circles: ,4.MD.C.5
Relating Angle Measures to Circles: ,4.MD.C.5
Angles Related to Fractions of a Circle,4.MD.C.5
Angles Related to Fractions of a Circle,4.MD.C.5
 Angles - Part 1: What is a degree?,4.MD.C.5
 Angles - Part 1: What is a degree?,4.MD.C.5
Angle Measurement,4.MD.C.5
"Everyday Math, ade, 8.Message pg 273: Finding Missing Angle Measurements",4.MD.C.5
"ade Math 10.1, Lines, Rays, and Angles",4.MD.C.5
Geometric Measurement with Mrs. Brooks,4.MD.C.5
Using a Protractor to Measure Angles: ,4.MD.C.6
HOW TO USE A PROTRACTOR TO MEASURE ANGLES!,4.MD.C.6
Measuring and Creating Angles,4.MD.C.6
Measuring Angles with a Protractor ,4.MD.C.6
 Angles - Part 2: How do we measure them?,4.MD.C.6
Adding and Subtracting Angles: ,4.MD.C.7
Real World Angle Problems,4.MD.C.7
ade - Math - Additive Angles - Topic Overview Part ,4.MD.C.7
Additive Angles- Compose and Decompose Angles,4.MD.C.7
Joining and Separating Angles,4.MD.C.7
Place Value Relationships- Ten Times the Digit To The Right or Left- TEK 4.2B-CCSS ,4.NBT.A.1
Place Value Relationships- Ten Times the Digit To The Right or Left- TEK 4.2B-CCSS ,5.NBT.A.1
Identifying the Relationship Between the Digits in Each Place: ,4.NBT.A.1
Times greater,4.NBT.A.1
Determining the Value of a Number (M.,4.NBT.A.1
Understanding Place Value Relationships TEK 4.2A,4.NBT.A.1
"ade Math 1.2, Read and Write Numbers in Standard Form, Word Form, Expanded Form",4.NBT.A.2
Math Antics - Place Value,4.NBT.A.2
Writing Numbers in Expanded Form - Mr. Pearson Teaches ade,4.NBT.A.2
"Standard, Expanded, and Word Form Using Base Ten Blocks: ",4.NBT.A.2
Writing a number in expanded form | Arithmetic properties | Pre-Algebra | Khan Academy,4.NBT.A.2
Reading and Writing Whole Number ,4.NBT.A.2
Compare multi-digit nums - Common Core Standard,4.NBT.A.2
Comparing whole numbers | Place value (tens and hundreds) | Early Math | Khan Academy,4.NBT.A.2
Comparing Whole Numbers,4.NBT.A.2
Comparing and Ordering Whole Numbers Made easy!,4.NBT.A.2
Rounding Multi Digit Numbers,4.NBT.A.3
How to Pass the Math FSA  Rounding PART 1,4.NBT.A.3
GSE LACE VALUE WITH ROUNDING,4.NBT.A.3
Rounding Numbers ,4.NBT.A.3
Regrouping to add number | Addition and subtraction | ade | Khan Academy,4.NBT.B.4
GoMath ade - 1. Adding and Subtracting Whole Numbers,4.NBT.B.4
Adding and Subtracting Whole Numbers,4.NBT.B.4
,4.NBT.B.4
Adding and Subtracting Whole Numbers,4.NBT.B.4
Multi Digit Subtraction - Subtraction with Borrowing ade,4.NBT.B.4
Subtracting multi digit numbers with regrouping,4.NBT.B.4
Combination Addition and Subtraction | Maths for Kids | Grade 4 | Periwinkle,4.NBT.B.4
Math Antics - Multi-Digit Subtraction,4.NBT.B.4
Double-Digit Subtraction for Kids,4.NBT.B.4
"Multiplication - On a Place Value Chart , ",4.NBT.B.5
Place Value Sections Method Multiplication ade Math CCSS  Easy to follow,4.NBT.B.5
Multiplication - The Lattice Method ,4.NBT.B.5
Traditional Multiplication ,4.NBT.B.5
Area Model of Multiplication ,4.NBT.B.5
Whole Number Division with Open Area Model,4.NBT.B.6
"Long Division Method) , 4. NBT.B.6",4.NBT.B.6
Four digit division - Common Core Standard,4.NBT.B.6
 Division with Remainder Divisor),4.NBT.B.6
"Division on a Place Value Chart Part 1 , ",4.NBT.B.6
Finding Equivalent Fractions with Models and Equations: ,4.NF.A.1
Equivalent Fractions Song For Kids | ade - ade,4.NF.A.1
Equivalent Fractions,4.NF.A.1
Generate Equivalent Fractions - Common Core Standard - Practice Problem,4.NF.A.1
Equivalent Fractions,4.NF.A.1
Comparing Fractions Using Common Numerators: ,4.NF.A.2
Comparing Fractions ,4.NF.A.2
Math Antics - Comparing Fractions,4.NF.A.2
 Ordering Fractions,4.NF.A.2
Ordering fractions | Math | ade | Khan Academy,4.NF.A.2
Adding Fractions with Different Denominators,4.NF.B.3
Adding Fractions with Different Denominators,5.NF.A.1
Subtracting Fractions,4.NF.B.3
Math Antics - Adding and Subtracting Fractions,4.NF.B.3
Adding &amp; Subtracting Fractions Song: LIKE and UNLIKE Denominators,4.NF.B.3
Intro to Fraction Addition - Common Core Standard,4.NF.B.3
Decomposing Fractions and Mixed Numbers: ,4.NF.B.3
Decomposing Fractions | Good to Know | WSKG,4.NF.B.3
Composing and Decomposing Fractions,4.NF.B.3
Decomposing Fractions - Common Core Standard,4.NF.B.3
Decomposing Fractions,4.NF.B.3
Mixed Numbers with Like Denominators - Common Core Standard - Practice Problem,4.NF.B.3
Mixed Numbers with Like Denominators - Common Core Standard,4.NF.B.3
Adding Mixed Numbers: ,4.NF.B.3
Adding mixed numbers with like denominators | Fractions | Pre-Algebra | Khan Academy,4.NF.B.3
Math Antics - Adding Mixed Numbers,4.NF.B.3
Math Antics - Adding Mixed Numbers,5.NF.A.1
Math Antics - Subtracting Mixed Numbers,4.NF.B.3
Math Antics - Subtracting Mixed Numbers,5.NF.A.1
How to subtract mixed fractions with like denominators.,4.NF.B.3
Subtracting Mixed Numbers,4.NF.B.3
Subtracting Mixed Numbers,5.NF.A.1
Subtracting mixed numbers with like denominators | Fractions | Pre-Algebra | Khan Academy,4.NF.B.3
Subtracting Mixed Numbers (With Like Denominators),4.NF.B.3
Add and subtract fractions with like denominators. Word problems.,4.NF.B.3
solve word problems using addition and subtraction of fractions,4.NF.B.3
Lesson 10 - Subtracting Fractions (Word Problems),4.NF.B.3
ade Math - Adding fractions Math word problem 1 - 1,4.NF.B.3
Writing Fractions as Multiples: ,4.NF.B.4
Visualizing the Multiplication of a Fraction by a Whole Number: ,4.NF.B.4
Writing Fractions as a Product of a Whole No and unit fraction,4.NF.B.4
Understanding Multiples - Common Core Standard - Practice Problem,4.NF.B.4
Fractions as Products of Unit Fraction and Whole Numbers,4.NF.B.4
Multiplying Fractions by Whole Numbers 9-9,4.NF.B.4
Multiplying Fractions by Whole Numbers 9-9,5.NF.B.4
Multiplying fractions by whole numbers ,4.NF.B.4
Multiply Fraction by a Whole Number ,4.NF.B.4
Multiply Fraction &amp; Whole Number,4.NF.B.4
ade Math | How to Multiply Fractions by a Whole Number,4.NF.B.4
Multiplying fractions by whole numbers word problem | Math | ade | Khan Academy,4.NF.B.4
